employee_row_id,eeid,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_pct,country,city,rank_eq,tenure_years,bonus_amount,salary_band,is_duplicate_eeid
61,E00380,Alice Thompson,Vice President,Accounting,Speciality Products,Female,Caucasian,48,2007-04-25,217783,0.36,United States,Seattle,61,19.2,784.02,Very Low,False
62,E04088,Ezra Liang,Vice President,Finance,Research & Development,Male,Asian,52,1997-05-26,216999,0.37,United States,Miami,62,29.2,802.9,Very Low,False
63,E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,2004-02-25,216949,0.32,China,Shanghai,63,22.4,694.24,Very Low,False
64,E03545,Sofia Cheng,Vice President,Accounting,Corporate,Female,Asian,63,2020-07-26,216195,0.31,United States,Miami,64,6.0,670.2,Very Low,False
65,E00672,Landon Luu,Vice President,IT,Research & Development,Male,Asian,31,2015-07-12,215388,0.33,United States,Miami,65,11.0,710.78,Very Low,True
66,E02468,Ella Huang,Vice President,Marketing,Corporate,Female,Asian,45,2016-02-28,211637,0.31,United States,Chicago,66,10.4,656.07,Very Low,False
67,E03737,Kennedy Rahman,Vice President,Human Resources,Manufacturing,Female,Asian,49,2003-02-28,211291,0.37,China,Chongqing,67,23.4,781.78,Very Low,False
68,E01006,Autumn Leung,Vice President,Finance,Research & Development,Female,Asian,25,2021-11-15,210708,0.33,United States,Chicago,68,4.7,695.34,Very Low,False
69,E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,2009-08-04,208415,0.35,United States,Seattle,69,17.0,729.45,Very Low,True
70,E04795,Eloise Alexander,Vice President,Human Resources,Corporate,Female,Black,28,2018-01-21,208210,0.3,United States,Seattle,70,8.5,624.63,Very Low,False
71,E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,2014-03-02,207172,0.31,China,Chongqing,71,12.4,642.23,Very Low,False
72,E00791,Thomas Padilla,Vice President,Marketing,Research & Development,Male,Latino,57,2003-07-26,206624,0.4,Brazil,Sao Paulo,72,23.0,826.5,Very Low,False
73,E01425,Anthony Rogers,Vice President,Engineering,Corporate,Male,Caucasian,33,2015-06-18,205314,0.3,United States,Columbus,73,11.1,615.94,Very Low,False
74,E00447,Hailey Sanchez,Vice President,Marketing,Corporate,Female,Latino,32,2014-02-05,203445,0.34,Brazil,Manaus,74,12.4,691.71,Very Low,False
75,E03579,Robert Zhang,Vice President,Marketing,Corporate,Male,Asian,45,2015-09-24,202680,0.32,United States,Phoenix,75,10.8,648.58,Very Low,False
76,E02687,Caroline Nelson,Vice President,Finance,Corporate,Female,Caucasian,36,2014-01-11,202323,0.39,United States,Chicago,76,12.5,789.06,Very Low,False
77,E03583,Brooks Marquez,Vice President,Sales,Corporate,Male,Latino,61,2019-09-24,201464,0.37,United States,Chicago,77,6.8,745.42,Very Low,True
78,E02140,Naomi Zhao,Vice President,Human Resources,Speciality Products,Female,Asian,45,2021-09-22,201396,0.32,United States,Miami,78,4.8,644.47,Very Low,False
79,E02914,Maria Wilson,Vice President,Engineering,Research & Development,Female,Caucasian,51,1996-06-14,200246,0.34,United States,Columbus,79,30.1,680.84,Very Low,False
80,E01967,John Dang,Director,Sales,Corporate,Male,Asian,58,1992-03-19,199848,0.16,China,Chongqing,80,34.3,319.76,Very Low,False
81,E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,2005-11-08,199808,0.32,United States,Seattle,81,20.7,639.39,Very Low,False
82,E03758,Liam Zhang,Director,Marketing,Research & Development,Male,Asian,29,2021-09-15,199783,0.21,United States,Chicago,82,4.8,419.54,Very Low,False
83,E03055,Austin Rojas,Vice President,Finance,Corporate,Male,Latino,29,2018-12-05,199504,0.3,United States,Austin,83,7.6,598.51,Very Low,False
84,E01090,Ethan Mehta,Director,Sales,Research & Development,Male,Asian,49,2001-07-20,199176,0.24,United States,Phoenix,84,25.0,478.02,Very Low,True
85,E03816,Leilani Chow,Director,Human Resources,Corporate,Female,Asian,27,2021-02-23,199041,0.16,China,Beijing,85,5.4,318.47,Very Low,False
86,E00952,Leilani Thao,Director,Human Resources,Speciality Products,Female,Asian,38,2007-05-30,198562,0.22,United States,Seattle,86,19.1,436.84,Very Low,True
87,E00044,Scarlett Jenkins,Vice President,IT,Research & Development,Female,Caucasian,53,2011-11-09,198473,0.32,United States,Miami,87,14.7,635.11,Very Low,False
88,E04359,Greyson Lam,Vice President,Accounting,Manufacturing,Male,Asian,25,2021-02-08,198243,0.31,United States,Miami,88,5.4,614.55,Very Low,True
89,E02193,Josephine Acosta,Director,Human Resources,Speciality Products,Female,Latino,40,2020-09-20,198176,0.17,Brazil,Manaus,89,5.8,336.9,Very Low,False
90,E00103,Nora Park,Director,Accounting,Speciality Products,Female,Asian,29,2017-06-28,197649,0.2,United States,Columbus,90,9.1,395.3,Very Low,False
91,E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,2014-03-08,197367,0.39,United States,Austin,91,12.4,769.73,Very Low,False
92,E00130,Paisley Kang,Vice President,Human Resources,Corporate,Female,Asian,61,2017-03-10,196951,0.33,China,Beijing,92,9.4,649.94,Very Low,False
93,E03858,John Cho,Director,Human Resources,Speciality Products,Male,Asian,47,2019-11-03,195385,0.21,China,Chengdu,93,6.7,410.31,Very Low,False
94,E04940,Hudson Williams,Vice President,Sales,Speciality Products,Male,Black,36,2018-03-19,195200,0.36,United States,Austin,94,8.3,702.72,Very Low,False
95,E03268,Everly Coleman,Vice President,IT,Corporate,Female,Caucasian,48,2015-02-18,194871,0.35,United States,Columbus,95,11.4,682.05,Very Low,True
96,E03354,Austin Brown,Director,Marketing,Research & Development,Male,Caucasian,48,2007-08-08,194723,0.25,United States,Phoenix,96,19.0,486.81,Very Low,True
97,E02781,Athena Vu,Director,Accounting,Manufacturing,Female,Asian,63,2007-03-06,193044,0.15,United States,Miami,97,19.4,289.57,Very Low,False
98,E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,2020-07-22,192749,0.31,United States,Chicago,98,6.0,597.52,Very Low,False
99,E01486,Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,59,2011-05-18,192213,0.4,United States,Chicago,99,15.2,768.85,Very Low,False
100,E01014,Lucas Phan,Director,Marketing,Research & Development,Male,Asian,49,1999-02-19,191807,0.21,China,Chongqing,100,27.4,402.79,Very Low,False
101,E04766,Lyla Yoon,Vice President,Accounting,Manufacturing,Female,Asian,38,2012-12-13,191571,0.32,United States,Austin,101,13.6,613.03,Very Low,False
102,E04637,Samuel Song,Director,Sales,Corporate,Male,Asian,31,2015-06-29,191026,0.16,United States,Columbus,102,11.1,305.64,Very Low,False
103,E00085,Isla Wong,Vice President,Accounting,Corporate,Female,Asian,56,2014-03-16,190815,0.4,United States,Austin,103,12.3,763.26,Very Low,True
104,E02310,Jordan Phillips,Vice President,Human Resources,Corporate,Male,Black,45,2010-12-12,190512,0.32,United States,Columbus,104,15.6,609.64,Very Low,False
105,E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,Female,Caucasian,29,2017-01-05,190401,0.37,United States,Columbus,105,9.5,704.48,Very Low,False
106,E03907,Camila Watson,Vice President,Finance,Speciality Products,Female,Caucasian,32,2018-01-02,190253,0.33,United States,Austin,106,8.5,627.83,Very Low,False
107,E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,1996-05-02,189933,0.23,United States,Miami,107,30.2,436.85,Very Low,False
108,E00416,Everleigh Fernandez,Director,Engineering,Research & Development,Female,Latino,30,2016-05-22,189702,0.28,Brazil,Manaus,108,10.2,531.17,Very Low,False
109,E02678,Nicholas Rivera,Director,Engineering,Corporate,Male,Latino,45,2007-04-13,189680,0.23,Brazil,Sao Paulo,109,19.3,436.26,Very Low,False
110,E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,2014-10-29,189420,0.2,United States,Seattle,110,11.7,378.84,Very Low,False
111,E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,2020-08-26,189290,0.22,Brazil,Sao Paulo,111,5.9,416.44,Very Low,False
112,E04194,Madison Kumar,Director,Accounting,Speciality Products,Female,Asian,55,2010-10-17,188727,0.23,China,Chengdu,112,15.8,434.07,Very Low,False
113,E00023,Gabriel Joseph,Director,Engineering,Manufacturing,Male,Caucasian,52,2006-10-28,187992,0.28,United States,Miami,113,19.7,526.38,Very Low,False
114,E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,2010-06-11,187389,0.25,China,Chengdu,114,16.1,468.47,Very Low,False
115,E04641,Scarlett Hill,Director,Engineering,Speciality Products,Female,Black,45,2018-04-22,187205,0.24,United States,Columbus,115,8.2,449.29,Very Low,False
116,E04683,Ezekiel Delgado,Director,Engineering,Speciality Products,Male,Latino,40,2020-02-07,187187,0.18,Brazil,Manaus,116,6.4,336.94,Very Low,False
117,E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,2012-07-23,187048,0.32,China,Chengdu,117,14.0,598.55,Very Low,False
118,E02033,Grace Sun,Director,Finance,Research & Development,Female,Asian,25,2021-04-17,186870,0.2,China,Shanghai,118,5.2,373.74,Very Low,False
119,E03240,Aiden Silva,Vice President,IT,Research & Development,Male,Latino,42,2010-11-29,186725,0.32,Brazil,Manaus,119,15.6,597.52,Very Low,False
120,E04116,David Barnes,Director,IT,Corporate,Male,Caucasian,64,2013-11-03,186503,0.24,United States,Columbus,120,12.7,447.61,Very Low,False
121,E04415,Penelope Fong,Director,Accounting,Corporate,Female,Asian,60,2004-05-14,186378,0.26,China,Chongqing,121,22.2,484.58,Very Low,True
122,E01712,James Singh,Director,Marketing,Corporate,Male,Asian,45,2008-03-12,186138,0.28,China,Chongqing,122,18.4,521.19,Very Low,False
123,E01347,Aiden Gonzales,Vice President,Marketing,Speciality Products,Male,Latino,44,2021-03-28,186033,0.34,Brazil,Sao Paulo,123,5.3,632.51,Very Low,False
124,E02748,Genesis Zhu,Director,Finance,Speciality Products,Female,Asian,34,2020-07-20,184960,0.18,United States,Seattle,124,6.0,332.93,Very Low,False
125,E04114,Christopher Lim,Director,IT,Research & Development,Male,Asian,55,2007-03-13,184648,0.24,China,Shanghai,125,19.4,443.16,Very Low,False
126,E02942,Daniel Richardson,Director,Engineering,Speciality Products,Male,Caucasian,30,2018-05-20,184368,0.29,United States,Austin,126,8.2,534.67,Very Low,False
127,E00440,Adeline Thao,Vice President,Finance,Corporate,Female,Asian,54,2007-09-05,183239,0.32,United States,Seattle,127,18.9,586.36,Very Low,True
128,E04645,Elias Ahmed,Vice President,Marketing,Corporate,Male,Asian,57,2017-08-04,183190,0.36,United States,Chicago,128,9.0,659.48,Very Low,False
129,E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,2014-08-28,183161,0.22,United States,Miami,129,11.9,402.95,Very Low,False
130,E04572,Jade Li,Director,IT,Speciality Products,Female,Asian,47,2012-10-26,183156,0.3,United States,Seattle,130,13.7,549.47,Very Low,False
131,E00268,Ian Flores,Director,Engineering,Corporate,Male,Latino,48,2019-12-10,183113,0.24,Brazil,Rio de Janerio,131,6.6,439.47,Very Low,False
132,E03683,Raelynn Hong,Director,Marketing,Speciality Products,Female,Asian,28,2019-12-11,182321,0.28,China,Beijing,132,6.6,510.5,Very Low,False
133,E03935,Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,2008-04-30,182202,0.3,United States,Austin,133,18.2,546.61,Very Low,False
134,E02613,Everly Lai,Vice President,Marketing,Speciality Products,Female,Asian,52,1998-04-01,182035,0.3,United States,Chicago,134,28.3,546.1,Very Low,True
135,E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,2017-02-19,181854,0.29,United States,Seattle,135,9.4,527.38,Very Low,False
136,E04962,Elena Tan,Vice President,Engineering,Manufacturing,Female,Asian,50,2008-10-13,181801,0.4,China,Chongqing,136,17.8,727.2,Very Low,False
137,E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,2013-09-11,181452,0.3,United States,Columbus,137,12.9,544.36,Very Low,False
138,E03349,Adam He,Director,Accounting,Speciality Products,Male,Asian,35,2017-08-16,181356,0.23,China,Beijing,138,8.9,417.12,Very Low,True
139,E02554,Joshua Ramirez,Vice President,Human Resources,Corporate,Male,Latino,44,2007-09-10,181247,0.33,Brazil,Sao Paulo,139,18.9,598.12,Very Low,False
140,E04101,Olivia Harris,Director,Sales,Speciality Products,Female,Caucasian,63,2020-06-14,181216,0.27,United States,Columbus,140,6.1,489.28,Very Low,False
141,E04779,Cameron Young,Vice President,Engineering,Manufacturing,Male,Caucasian,63,2016-01-18,180994,0.39,United States,Seattle,141,10.5,705.88,Very Low,False
142,E01970,Vivian Barnes,Director,Human Resources,Research & Development,Female,Caucasian,51,2021-03-28,180687,0.19,United States,Phoenix,142,5.3,343.31,Very Low,False
143,E03383,Lincoln Hall,Director,Accounting,Speciality Products,Male,Caucasian,26,2020-07-28,180664,0.27,United States,Chicago,143,6.0,487.79,Very Low,False
144,E01668,Naomi Xi,Director,Finance,Corporate,Female,Asian,53,2002-02-17,179494,0.2,China,Chongqing,144,24.4,358.99,Very Low,False
145,E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,2015-09-29,178700,0.29,United States,Seattle,145,10.8,518.23,Very Low,False
146,E04571,Hadley Contreras,Director,Engineering,Corporate,Female,Latino,60,2017-01-04,178502,0.2,United States,Austin,146,9.5,357.0,Very Low,False
147,E00607,Jameson Allen,Director,Marketing,Speciality Products,Male,Caucasian,32,2016-11-28,177443,0.16,United States,Seattle,147,9.6,283.91,Very Low,False
148,E04562,Kinsley Martinez,Director,Human Resources,Speciality Products,Female,Latino,52,1993-08-28,177443,0.25,Brazil,Sao Paulo,147,32.9,443.61,Very Low,True
149,E04398,Oliver Yang,Director,Marketing,Speciality Products,Male,Asian,31,2019-06-10,176710,0.15,United States,Miami,149,7.1,265.06,Very Low,False
150,E02980,Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,2016-10-24,176324,0.23,China,Shanghai,150,9.7,405.55,Very Low,False
151,E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,2018-01-22,176294,0.28,United States,Austin,151,8.5,493.62,Very Low,False
152,E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,2002-03-04,175837,0.2,United States,Phoenix,152,24.4,351.67,Very Low,False
153,E02017,Connor Joseph,Director,Human Resources,Corporate,Male,Caucasian,50,1998-07-22,174895,0.15,United States,Chicago,153,28.0,262.34,Very Low,False
154,E03278,Nicholas Wong,Director,Sales,Research & Development,Male,Asian,27,2019-11-07,174607,0.29,United States,Columbus,154,6.7,506.36,Very Low,True
155,E01337,Andrew Coleman,Director,Finance,Corporate,Male,Caucasian,41,2019-05-15,174415,0.23,United States,Miami,155,7.2,401.15,Very Low,False
156,E02307,Skylar Evans,Director,Accounting,Research & Development,Female,Caucasian,42,2009-06-04,174099,0.26,United States,Austin,156,17.1,452.66,Very Low,False
157,E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,2018-06-25,174097,0.21,United States,Phoenix,157,8.1,365.6,Very Low,True
158,E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,Latino,46,2014-07-19,173629,0.21,Brazil,Sao Paulo,158,12.0,364.62,Very Low,False
159,E01309,Everleigh Jiang,Director,Accounting,Research & Development,Female,Asian,58,2003-05-14,173071,0.29,United States,Columbus,159,23.2,501.91,Very Low,False
160,E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,2002-05-24,172787,0.28,Brazil,Rio de Janerio,160,24.2,483.8,Very Low,False
161,E00364,Matthew Howard,Director,Human Resources,Manufacturing,Male,Caucasian,50,2021-10-17,172180,0.3,United States,Columbus,161,4.7,516.54,Very Low,False
162,E04872,Isaac Stewart,Director,Marketing,Speciality Products,Male,Caucasian,25,2020-08-15,172007,0.26,United States,Miami,162,5.9,447.22,Very Low,False
163,E00005,Riley Washington,Director,Sales,Speciality Products,Female,Caucasian,39,2007-04-29,171487,0.23,United States,Phoenix,163,19.2,394.42,Very Low,False
164,E02420,Madison Li,Director,Marketing,Manufacturing,Female,Asian,35,2017-03-06,171426,0.15,China,Beijing,164,9.4,257.14,Very Low,False
165,E02889,Mia Herrera,Director,Marketing,Research & Development,Female,Latino,43,2014-10-16,171360,0.23,Brazil,Manaus,165,11.8,394.13,Very Low,False
166,E03591,Piper Sun,Director,Marketing,Manufacturing,Female,Asian,64,2011-02-14,171217,0.19,United States,Seattle,166,15.4,325.31,Very Low,False
167,E02850,Evelyn Dinh,Director,Sales,Research & Development,Female,Asian,41,2018-08-10,171173,0.21,United States,Columbus,167,7.9,359.46,Very Low,False
168,E02895,Mila Soto,Director,Finance,Research & Development,Female,Latino,65,2008-10-07,170221,0.15,Brazil,Manaus,168,17.8,255.33,Very Low,False
169,E01787,Lillian Romero,Director,Engineering,Corporate,Female,Latino,27,2018-12-07,170164,0.17,United States,Austin,169,7.6,289.28,Very Low,False
170,E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,2017-08-25,169509,0.18,Brazil,Manaus,170,8.9,305.12,Very Low,False
171,E03901,Luca Truong,Director,Marketing,Corporate,Male,Asian,45,2004-12-11,168846,0.24,China,Chongqing,171,21.6,405.23,Very Low,False
172,E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,2012-10-22,168510,0.29,United States,Seattle,172,13.7,488.68,Very Low,False
173,E01896,Adam Nelson,Director,Finance,Speciality Products,Male,Caucasian,25,2020-01-14,168014,0.27,United States,Chicago,173,6.5,453.64,Very Low,False
174,E00624,William Watson,Director,Accounting,Speciality Products,Male,Caucasian,41,2013-06-04,167526,0.26,United States,Miami,174,13.1,435.57,Very Low,False
175,E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,2009-09-20,167199,0.2,United States,Seattle,175,16.8,334.4,Very Low,True
176,E01387,Cora Zheng,Director,IT,Manufacturing,Female,Asian,27,2018-01-03,167100,0.2,China,Chengdu,176,8.5,334.2,Very Low,False
177,E00691,Ezekiel Desai,Director,Finance,Research & Development,Male,Asian,42,2003-01-15,166599,0.26,United States,Seattle,177,23.5,433.16,Very Low,True
