"employee_row_id","eeid","full_name","job_title","department","business_unit","gender","ethnicity","age","hire_date","tenure_years","annual_salary","salary_band","bonus_pct","bonus_amount","country","city","is_duplicate_eeid"
69,"E01249","Penelope Guerrero","Vice President","IT","Speciality Products","Female","Latino",43,"2009-08-04 00:00:00",17.0,208415,"Very Low",0.35,729.45,"United States","Seattle",True
70,"E04795","Eloise Alexander","Vice President","Human Resources","Corporate","Female","Black",28,"2018-01-21 00:00:00",8.5,208210,"Very Low",0.3,624.63,"United States","Seattle",False
71,"E02071","Mateo Her","Vice President","Sales","Speciality Products","Male","Asian",44,"2014-03-02 00:00:00",12.4,207172,"Very Low",0.31,642.23,"China","Chongqing",False
72,"E00791","Thomas Padilla","Vice President","Marketing","Research & Development","Male","Latino",57,"2003-07-26 00:00:00",23.0,206624,"Very Low",0.4,826.5,"Brazil","Sao Paulo",False
73,"E01425","Anthony Rogers","Vice President","Engineering","Corporate","Male","Caucasian",33,"2015-06-18 00:00:00",11.1,205314,"Very Low",0.3,615.94,"United States","Columbus",False
74,"E00447","Hailey Sanchez","Vice President","Marketing","Corporate","Female","Latino",32,"2014-02-05 00:00:00",12.4,203445,"Very Low",0.34,691.71,"Brazil","Manaus",False
75,"E03579","Robert Zhang","Vice President","Marketing","Corporate","Male","Asian",45,"2015-09-24 00:00:00",10.8,202680,"Very Low",0.32,648.58,"United States","Phoenix",False
76,"E02687","Caroline Nelson","Vice President","Finance","Corporate","Female","Caucasian",36,"2014-01-11 00:00:00",12.5,202323,"Very Low",0.39,789.06,"United States","Chicago",False
77,"E03583","Brooks Marquez","Vice President","Sales","Corporate","Male","Latino",61,"2019-09-24 00:00:00",6.8,201464,"Very Low",0.37,745.42,"United States","Chicago",True
78,"E02140","Naomi Zhao","Vice President","Human Resources","Speciality Products","Female","Asian",45,"2021-09-22 00:00:00",4.8,201396,"Very Low",0.32,644.47,"United States","Miami",False
79,"E02914","Maria Wilson","Vice President","Engineering","Research & Development","Female","Caucasian",51,"1996-06-14 00:00:00",30.1,200246,"Very Low",0.34,680.84,"United States","Columbus",False
80,"E01967","John Dang","Director","Sales","Corporate","Male","Asian",58,"1992-03-19 00:00:00",34.3,199848,"Very Low",0.16,319.76,"China","Chongqing",False
81,"E03574","John Moore","Vice President","IT","Speciality Products","Male","Caucasian",52,"2005-11-08 00:00:00",20.7,199808,"Very Low",0.32,639.39,"United States","Seattle",False
82,"E03758","Liam Zhang","Director","Marketing","Research & Development","Male","Asian",29,"2021-09-15 00:00:00",4.8,199783,"Very Low",0.21,419.54,"United States","Chicago",False
83,"E03055","Austin Rojas","Vice President","Finance","Corporate","Male","Latino",29,"2018-12-05 00:00:00",7.6,199504,"Very Low",0.3,598.51,"United States","Austin",False
84,"E01090","Ethan Mehta","Director","Sales","Research & Development","Male","Asian",49,"2001-07-20 00:00:00",25.0,199176,"Very Low",0.24,478.02,"United States","Phoenix",True
85,"E03816","Leilani Chow","Director","Human Resources","Corporate","Female","Asian",27,"2021-02-23 00:00:00",5.4,199041,"Very Low",0.16,318.47,"China","Beijing",False
86,"E00952","Leilani Thao","Director","Human Resources","Speciality Products","Female","Asian",38,"2007-05-30 00:00:00",19.1,198562,"Very Low",0.22,436.84,"United States","Seattle",True
87,"E00044","Scarlett Jenkins","Vice President","IT","Research & Development","Female","Caucasian",53,"2011-11-09 00:00:00",14.7,198473,"Very Low",0.32,635.11,"United States","Miami",False
88,"E04359","Greyson Lam","Vice President","Accounting","Manufacturing","Male","Asian",25,"2021-02-08 00:00:00",5.4,198243,"Very Low",0.31,614.55,"United States","Miami",True
89,"E02193","Josephine Acosta","Director","Human Resources","Speciality Products","Female","Latino",40,"2020-09-20 00:00:00",5.8,198176,"Very Low",0.17,336.9,"Brazil","Manaus",False
90,"E00103","Nora Park","Director","Accounting","Speciality Products","Female","Asian",29,"2017-06-28 00:00:00",9.1,197649,"Very Low",0.2,395.3,"United States","Columbus",False
91,"E03506","Jaxson Mai","Vice President","Human Resources","Research & Development","Male","Asian",48,"2014-03-08 00:00:00",12.4,197367,"Very Low",0.39,769.73,"United States","Austin",False
92,"E00130","Paisley Kang","Vice President","Human Resources","Corporate","Female","Asian",61,"2017-03-10 00:00:00",9.4,196951,"Very Low",0.33,649.94,"China","Beijing",False
93,"E03858","John Cho","Director","Human Resources","Speciality Products","Male","Asian",47,"2019-11-03 00:00:00",6.7,195385,"Very Low",0.21,410.31,"China","Chengdu",False
94,"E04940","Hudson Williams","Vice President","Sales","Speciality Products","Male","Black",36,"2018-03-19 00:00:00",8.3,195200,"Very Low",0.36,702.72,"United States","Austin",False
95,"E03268","Everly Coleman","Vice President","IT","Corporate","Female","Caucasian",48,"2015-02-18 00:00:00",11.4,194871,"Very Low",0.35,682.05,"United States","Columbus",True
96,"E03354","Austin Brown","Director","Marketing","Research & Development","Male","Caucasian",48,"2007-08-08 00:00:00",19.0,194723,"Very Low",0.25,486.81,"United States","Phoenix",True
97,"E02781","Athena Vu","Director","Accounting","Manufacturing","Female","Asian",63,"2007-03-06 00:00:00",19.4,193044,"Very Low",0.15,289.57,"United States","Miami",False
98,"E02747","Kinsley Acosta","Vice President","IT","Speciality Products","Female","Latino",32,"2020-07-22 00:00:00",6.0,192749,"Very Low",0.31,597.52,"United States","Chicago",False
99,"E01486","Mason Cho","Vice President","Accounting","Research & Development","Male","Asian",59,"2011-05-18 00:00:00",15.2,192213,"Very Low",0.4,768.85,"United States","Chicago",False
100,"E01014","Lucas Phan","Director","Marketing","Research & Development","Male","Asian",49,"1999-02-19 00:00:00",27.4,191807,"Very Low",0.21,402.79,"China","Chongqing",False
101,"E04766","Lyla Yoon","Vice President","Accounting","Manufacturing","Female","Asian",38,"2012-12-13 00:00:00",13.6,191571,"Very Low",0.32,613.03,"United States","Austin",False
102,"E04637","Samuel Song","Director","Sales","Corporate","Male","Asian",31,"2015-06-29 00:00:00",11.1,191026,"Very Low",0.16,305.64,"United States","Columbus",False
103,"E00085","Isla Wong","Vice President","Accounting","Corporate","Female","Asian",56,"2014-03-16 00:00:00",12.3,190815,"Very Low",0.4,763.26,"United States","Austin",True
104,"E02310","Jordan Phillips","Vice President","Human Resources","Corporate","Male","Black",45,"2010-12-12 00:00:00",15.6,190512,"Very Low",0.32,609.64,"United States","Columbus",False
105,"E04342","Samantha Barnes","Vice President","Marketing","Speciality Products","Female","Caucasian",29,"2017-01-05 00:00:00",9.5,190401,"Very Low",0.37,704.48,"United States","Columbus",False
106,"E03907","Camila Watson","Vice President","Finance","Speciality Products","Female","Caucasian",32,"2018-01-02 00:00:00",8.5,190253,"Very Low",0.33,627.83,"United States","Austin",False
107,"E00187","Miles Mehta","Director","Finance","Research & Development","Male","Asian",64,"1996-05-02 00:00:00",30.2,189933,"Very Low",0.23,436.85,"United States","Miami",False
108,"E00416","Everleigh Fernandez","Director","Engineering","Research & Development","Female","Latino",30,"2016-05-22 00:00:00",10.2,189702,"Very Low",0.28,531.17,"Brazil","Manaus",False
109,"E02678","Nicholas Rivera","Director","Engineering","Corporate","Male","Latino",45,"2007-04-13 00:00:00",19.3,189680,"Very Low",0.23,436.26,"Brazil","Sao Paulo",False
110,"E03025","Lucy Alexander","Director","Engineering","Manufacturing","Female","Caucasian",45,"2014-10-29 00:00:00",11.7,189420,"Very Low",0.2,378.84,"United States","Seattle",False
111,"E00119","Jack Maldonado","Director","Engineering","Research & Development","Male","Latino",31,"2020-08-26 00:00:00",5.9,189290,"Very Low",0.22,416.44,"Brazil","Sao Paulo",False
112,"E04194","Madison Kumar","Director","Accounting","Speciality Products","Female","Asian",55,"2010-10-17 00:00:00",15.8,188727,"Very Low",0.23,434.07,"China","Chengdu",False
113,"E00023","Gabriel Joseph","Director","Engineering","Manufacturing","Male","Caucasian",52,"2006-10-28 00:00:00",19.7,187992,"Very Low",0.28,526.38,"United States","Miami",False
114,"E00500","Henry Shah","Director","Accounting","Manufacturing","Male","Asian",55,"2010-06-11 00:00:00",16.1,187389,"Very Low",0.25,468.47,"China","Chengdu",False
115,"E04641","Scarlett Hill","Director","Engineering","Speciality Products","Female","Black",45,"2018-04-22 00:00:00",8.2,187205,"Very Low",0.24,449.29,"United States","Columbus",False
116,"E04683","Ezekiel Delgado","Director","Engineering","Speciality Products","Male","Latino",40,"2020-02-07 00:00:00",6.4,187187,"Very Low",0.18,336.94,"Brazil","Manaus",False
117,"E00207","Hailey Lai","Vice President","Human Resources","Manufacturing","Female","Asian",52,"2012-07-23 00:00:00",14.0,187048,"Very Low",0.32,598.55,"China","Chengdu",False
118,"E02033","Grace Sun","Director","Finance","Research & Development","Female","Asian",25,"2021-04-17 00:00:00",5.2,186870,"Very Low",0.2,373.74,"China","Shanghai",False
119,"E03240","Aiden Silva","Vice President","IT","Research & Development","Male","Latino",42,"2010-11-29 00:00:00",15.6,186725,"Very Low",0.32,597.52,"Brazil","Manaus",False
120,"E04116","David Barnes","Director","IT","Corporate","Male","Caucasian",64,"2013-11-03 00:00:00",12.7,186503,"Very Low",0.24,447.61,"United States","Columbus",False
121,"E04415","Penelope Fong","Director","Accounting","Corporate","Female","Asian",60,"2004-05-14 00:00:00",22.2,186378,"Very Low",0.26,484.58,"China","Chongqing",True
122,"E01712","James Singh","Director","Marketing","Corporate","Male","Asian",45,"2008-03-12 00:00:00",18.4,186138,"Very Low",0.28,521.19,"China","Chongqing",False
123,"E01347","Aiden Gonzales","Vice President","Marketing","Speciality Products","Male","Latino",44,"2021-03-28 00:00:00",5.3,186033,"Very Low",0.34,632.51,"Brazil","Sao Paulo",False
124,"E02748","Genesis Zhu","Director","Finance","Speciality Products","Female","Asian",34,"2020-07-20 00:00:00",6.0,184960,"Very Low",0.18,332.93,"United States","Seattle",False
125,"E04114","Christopher Lim","Director","IT","Research & Development","Male","Asian",55,"2007-03-13 00:00:00",19.4,184648,"Very Low",0.24,443.16,"China","Shanghai",False
126,"E02942","Daniel Richardson","Director","Engineering","Speciality Products","Male","Caucasian",30,"2018-05-20 00:00:00",8.2,184368,"Very Low",0.29,534.67,"United States","Austin",False
127,"E00440","Adeline Thao","Vice President","Finance","Corporate","Female","Asian",54,"2007-09-05 00:00:00",18.9,183239,"Very Low",0.32,586.36,"United States","Seattle",True
128,"E04645","Elias Ahmed","Vice President","Marketing","Corporate","Male","Asian",57,"2017-08-04 00:00:00",9.0,183190,"Very Low",0.36,659.48,"United States","Chicago",False
129,"E02421","Jordan Truong","Director","Engineering","Speciality Products","Male","Asian",45,"2014-08-28 00:00:00",11.9,183161,"Very Low",0.22,402.95,"United States","Miami",False
130,"E04572","Jade Li","Director","IT","Speciality Products","Female","Asian",47,"2012-10-26 00:00:00",13.7,183156,"Very Low",0.3,549.47,"United States","Seattle",False
131,"E00268","Ian Flores","Director","Engineering","Corporate","Male","Latino",48,"2019-12-10 00:00:00",6.6,183113,"Very Low",0.24,439.47,"Brazil","Rio de Janerio",False
132,"E03683","Raelynn Hong","Director","Marketing","Speciality Products","Female","Asian",28,"2019-12-11 00:00:00",6.6,182321,"Very Low",0.28,510.5,"China","Beijing",False
133,"E03935","Cora Jiang","Vice President","IT","Corporate","Female","Asian",53,"2008-04-30 00:00:00",18.2,182202,"Very Low",0.3,546.61,"United States","Austin",False
134,"E02613","Everly Lai","Vice President","Marketing","Speciality Products","Female","Asian",52,"1998-04-01 00:00:00",28.3,182035,"Very Low",0.3,546.1,"United States","Chicago",True
135,"E00556","Grayson Walker","Director","Accounting","Manufacturing","Male","Caucasian",29,"2017-02-19 00:00:00",9.4,181854,"Very Low",0.29,527.38,"United States","Seattle",False
136,"E04962","Elena Tan","Vice President","Engineering","Manufacturing","Female","Asian",50,"2008-10-13 00:00:00",17.8,181801,"Very Low",0.4,727.2,"China","Chongqing",False
137,"E04127","Emery Acosta","Vice President","Sales","Research & Development","Female","Latino",42,"2013-09-11 00:00:00",12.9,181452,"Very Low",0.3,544.36,"United States","Columbus",False
138,"E03349","Adam He","Director","Accounting","Speciality Products","Male","Asian",35,"2017-08-16 00:00:00",8.9,181356,"Very Low",0.23,417.12,"China","Beijing",True
139,"E02554","Joshua Ramirez","Vice President","Human Resources","Corporate","Male","Latino",44,"2007-09-10 00:00:00",18.9,181247,"Very Low",0.33,598.12,"Brazil","Sao Paulo",False
140,"E04101","Olivia Harris","Director","Sales","Speciality Products","Female","Caucasian",63,"2020-06-14 00:00:00",6.1,181216,"Very Low",0.27,489.28,"United States","Columbus",False
141,"E04779","Cameron Young","Vice President","Engineering","Manufacturing","Male","Caucasian",63,"2016-01-18 00:00:00",10.5,180994,"Very Low",0.39,705.88,"United States","Seattle",False
142,"E01970","Vivian Barnes","Director","Human Resources","Research & Development","Female","Caucasian",51,"2021-03-28 00:00:00",5.3,180687,"Very Low",0.19,343.31,"United States","Phoenix",False
143,"E03383","Lincoln Hall","Director","Accounting","Speciality Products","Male","Caucasian",26,"2020-07-28 00:00:00",6.0,180664,"Very Low",0.27,487.79,"United States","Chicago",False
144,"E01668","Naomi Xi","Director","Finance","Corporate","Female","Asian",53,"2002-02-17 00:00:00",24.4,179494,"Very Low",0.2,358.99,"China","Chongqing",False
145,"E02139","Rylee Yu","Director","Accounting","Research & Development","Female","Asian",36,"2015-09-29 00:00:00",10.8,178700,"Very Low",0.29,518.23,"United States","Seattle",False
146,"E04571","Hadley Contreras","Director","Engineering","Corporate","Female","Latino",60,"2017-01-04 00:00:00",9.5,178502,"Very Low",0.2,357.0,"United States","Austin",False
147,"E00607","Jameson Allen","Director","Marketing","Speciality Products","Male","Caucasian",32,"2016-11-28 00:00:00",9.6,177443,"Very Low",0.16,283.91,"United States","Seattle",False
148,"E04562","Kinsley Martinez","Director","Human Resources","Speciality Products","Female","Latino",52,"1993-08-28 00:00:00",32.9,177443,"Very Low",0.25,443.61,"Brazil","Sao Paulo",True
149,"E04398","Oliver Yang","Director","Marketing","Speciality Products","Male","Asian",31,"2019-06-10 00:00:00",7.1,176710,"Very Low",0.15,265.06,"United States","Miami",False
150,"E02980","Hailey Shin","Director","Human Resources","Corporate","Female","Asian",57,"2016-10-24 00:00:00",9.7,176324,"Very Low",0.23,405.55,"China","Shanghai",False
151,"E00128","Everleigh Espinoza","Director","Human Resources","Manufacturing","Female","Latino",54,"2018-01-22 00:00:00",8.5,176294,"Very Low",0.28,493.62,"United States","Austin",False
152,"E00163","Bella Powell","Director","Finance","Research & Development","Female","Black",65,"2002-03-04 00:00:00",24.4,175837,"Very Low",0.2,351.67,"United States","Phoenix",False
153,"E02017","Connor Joseph","Director","Human Resources","Corporate","Male","Caucasian",50,"1998-07-22 00:00:00",28.0,174895,"Very Low",0.15,262.34,"United States","Chicago",False
154,"E03278","Nicholas Wong","Director","Sales","Research & Development","Male","Asian",27,"2019-11-07 00:00:00",6.7,174607,"Very Low",0.29,506.36,"United States","Columbus",True
155,"E01337","Andrew Coleman","Director","Finance","Corporate","Male","Caucasian",41,"2019-05-15 00:00:00",7.2,174415,"Very Low",0.23,401.15,"United States","Miami",False
156,"E02307","Skylar Evans","Director","Accounting","Research & Development","Female","Caucasian",42,"2009-06-04 00:00:00",17.1,174099,"Very Low",0.26,452.66,"United States","Austin",False
157,"E00568","Ava Garza","Director","Accounting","Manufacturing","Female","Latino",27,"2018-06-25 00:00:00",8.1,174097,"Very Low",0.21,365.6,"United States","Phoenix",True
158,"E03802","Thomas Vazquez","Director","Engineering","Corporate","Male","Latino",46,"2014-07-19 00:00:00",12.0,173629,"Very Low",0.21,364.62,"Brazil","Sao Paulo",False
159,"E01309","Everleigh Jiang","Director","Accounting","Research & Development","Female","Asian",58,"2003-05-14 00:00:00",23.2,173071,"Very Low",0.29,501.91,"United States","Columbus",False
160,"E03484","Logan Rivera","Director","IT","Research & Development","Male","Latino",59,"2002-05-24 00:00:00",24.2,172787,"Very Low",0.28,483.8,"Brazil","Rio de Janerio",False
